property_type,furnishing,price,area,bedrooms,bathrooms,neighborhood,latitude,longitude,city
Apartment,Unfurnished,"670,000",162 Sq. M.,5,3,Al Nuzhah,21.628948265933662,39.16145829038936,Jeddah
Apartment,Unfurnished,"670,000",162 Sq. M.,3,4,Al Nuzhah,21.628948265933662,39.16145829038936,Jeddah
Apartment,Unfurnished,"385,000",108 Sq. M.,3,3,Al Rayaan,21.688143098897996,39.20685007620658,Jeddah
Apartment,Unfurnished,"600,000",181 Sq. M.,6,3,Al Mraikh,21.554821358740806,39.28709226586619,Jeddah
Apartment,Unfurnished,"650,000",181 Sq. M.,5,3,Al Nuzhah,21.62089063018845,39.1668465449406,Jeddah
Apartment,Furnished,"950,000",213 Sq. M.,5,4,Al Manar,21.596754158180822,39.22987260844997,Jeddah
Apartment,Unfurnished,"720,000",170 Sq. M.,5,3,Al Rayaan,21.676288357486232,39.21220879928858,Jeddah
Apartment,Unfurnished,"540,000",131 Sq. M.,4,3,Al Marwah,21.60690990306392,39.207630263806685,Jeddah
Apartment,Unfurnished,"750,000",166 Sq. M.,5,4,Mishrifah,21.540132402877575,39.18033363500962,Jeddah
Apartment,Unfurnished,"750,000",166 Sq. M.,5,4,Mishrifah,21.540423056714687,39.180328983052924,Jeddah
Apartment,Unfurnished,"850,000",197 Sq. M.,6,4,Al Faisaliyah,21.567585485907205,39.18487773649841,Jeddah
Apartment,Unfurnished,"790,000",175 Sq. M.,5,3,Al Salamah,21.592610647452076,39.15772470327428,Jeddah
Apartment,Unfurnished,"700,000",159 Sq. M.,5,3,Al Fayhaa,21.50041012947573,39.237406500076474,Jeddah
Apartment,Unfurnished,"730,000",112 Sq. M.,4,3,Al Rawdah,21.575814944607192,39.166047958662155,Jeddah
Apartment,Unfurnished,"670,000",158 Sq. M.,5,4,Al Safa,21.579813304165736,39.21201520922908,Jeddah
Apartment,Unfurnished,"470,000",137 Sq. M.,4,3,Al Mraikh,21.55482236244899,39.287075228388694,Jeddah
Apartment,Unfurnished,"850,000",183 Sq. M.,5,4,Al Manar,21.59311108977313,39.23324697551824,Jeddah
Apartment,Unfurnished,"1,060,000",497 Sq. M.,5,4,Al Zahraa,21.606986274454485,39.13086664993124,Jeddah
Apartment,Unfurnished,"950,000",299 Sq. M.,7,5,Prince Abdulmajeed,21.43191565407671,39.26661938412619,Jeddah
Apartment,Unfurnished,"920,000",166 Sq. M.,5,4,Al Salamah,21.588211676507992,39.15443329488449,Jeddah
Apartment,Unfurnished,"499,000",879 Sq. M.,3,3,Al Rawdah,21.57713491062559,39.164566028128675,Jeddah
Apartment,Unfurnished,"320,000",659 Sq. M.,3,3,Al Mraikh,21.5480824673055,39.280268263415174,Jeddah
Apartment,Unfurnished,"670,000",162 Sq. M.,5,3,Al Nuzhah,21.62914999812776,39.161498649534664,Jeddah
Apartment,Unfurnished,"450,000",102 Sq. M.,3,2,Al Marwah,21.606669323105706,39.208215165968184,Jeddah
Apartment,Unfurnished,"500,000",225 Sq. M.,4,3,Al Safa,21.58868220772883,39.19792352784259,Jeddah
Apartment,Unfurnished,"550,000",169 Sq. M.,4,3,Al Safa,21.588756579939385,39.19794999486957,Jeddah
Apartment,Unfurnished,"550,000",140 Sq. M.,4,3,Al Safa,21.588421619403032,39.19828360595783,Jeddah
Apartment,Unfurnished,"550,000",140 Sq. M.,3,2,Al Safa,21.588421619403032,39.19828360595783,Jeddah
Apartment,Unfurnished,"550,000",140 Sq. M.,3,3,Al Safa,21.588421619403032,39.19828360595783,Jeddah
Apartment,Unfurnished,"550,000",140 Sq. M.,5,4,Al Safa,21.588421619403032,39.19828360595783,Jeddah
Apartment,Unfurnished,"550,000",132 Sq. M.,4,3,Al Faisaliyah,21.57891195855323,39.19233006434598,Jeddah
Apartment,Unfurnished,"550,000",132 Sq. M.,4,3,Al Faisaliyah,21.57891195855323,39.19233006434598,Jeddah
Apartment,Unfurnished,"530,000",129 Sq. M.,4,3,Al Faisaliyah,21.57885611551084,39.19234357059267,Jeddah
Apartment,Unfurnished,"860,000",185 Sq. M.,5,3,Al Faisaliyah,21.576180808586898,39.174403410254705,Jeddah
Apartment,Unfurnished,"610,000",202 Sq. M.,5,4,Al Hamdaniyah,21.744897187162877,39.206234474929005,Jeddah
Apartment,Unfurnished,"750,000",199 Sq. M.,5,4,Al Safa,21.591954573496512,39.198488829167374,Jeddah
Apartment,Unfurnished,"650,000",111 Sq. M.,4,3,Al Salamah,21.592635334509488,39.1577478628655,Jeddah
Apartment,Unfurnished,"750,000",114 Sq. M.,4,3,Al Rawdah,21.575809956064255,39.16602784209452,Jeddah
Apartment,Unfurnished,"1,350,000",223 Sq. M.,5,5,Al Nahdah,21.613856295250518,39.120565501434136,Jeddah
Apartment,Unfurnished,"750,000",114 Sq. M.,4,3,Al Rawdah,21.575829157035248,39.16604510018212,Jeddah
Apartment,Unfurnished,"250,000",706 Sq. M.,2,2,Al Mraikh,21.54941559911014,39.27927952288219,Jeddah
Apartment,Unfurnished,"430,000",115 Sq. M.,4,3,Al Rayaan,21.66709797891365,39.208092022018036,Jeddah
Apartment,Unfurnished,"790,000",241 Sq. M.,6,6,Al Rawabi,21.481877174494418,39.26796198096598,Jeddah
Apartment,Unfurnished,"470,000",135 Sq. M.,4,3,Abruq Al Rughamah,21.507864226290245,39.27852817735584,Jeddah
Apartment,Unfurnished,"550,000",123 Sq. M.,4,4,Al Salamah,21.58277818856739,39.151562982178945,Jeddah
Apartment,Unfurnished,"650,000",111 Sq. M.,4,3,Al Salamah,21.592602912742784,39.157747862865605,Jeddah
Apartment,Unfurnished,"340,000",550 Sq. M.,2,2,Al Naim,21.614727339187628,39.14522251543738,Jeddah
Apartment,Unfurnished,"620,000",111 Sq. M.,3,3,Al Salamah,21.579373712422846,39.15385930215548,Jeddah
Apartment,Unfurnished,"540,000",129 Sq. M.,4,3,Al Faisaliyah,21.578958296595104,39.19228566068555,Jeddah
Apartment,Unfurnished,"650,000",166 Sq. M.,3,4,Al Safa,24.0,24.0,Jeddah
Apartment,Unfurnished,"650,000",166 Sq. M.,5,4,Al Safa,24.0,24.0,Jeddah
Apartment,Unfurnished,"440,000",99 Sq. M.,3,3,Al Salamah,21.606080267868606,39.15055800044794,Jeddah
Apartment,Unfurnished,"320,000",659 Sq. M.,3,2,Al Mraikh,21.5480824673055,39.280268263415174,Jeddah
Apartment,Unfurnished,"650,000",164 Sq. M.,5,4,Al Rehab,21.557723895425973,39.21937072127219,Jeddah
Apartment,Unfurnished,"450,000",102 Sq. M.,3,2,Al Marwah,21.606669323105706,39.208215165968184,Jeddah
Apartment,Furnished,"950,000",213 Sq. M.,5,4,Al Manar,21.596773817210746,39.22987609741759,Jeddah
Apartment,Unfurnished,"780,000",184 Sq. M.,5,4,Al Aziziyah,21.55318638871771,39.2124920422256,Jeddah
Apartment,Unfurnished,"860,000",213 Sq. M.,5,4,Al Manar,21.5968961064484,39.230438093547775,Jeddah
Apartment,Unfurnished,"440,000",630 Sq. M.,3,3,Al Salamah,21.60940420956376,39.147587841803244,Jeddah
Apartment,Unfurnished,"1,050,000",179 Sq. M.,5,3,Al Salamah,21.606251920909635,39.14777442821789,Jeddah
Apartment,Unfurnished,"730,000",195 Sq. M.,6,4,Al Rayaan,21.678674942838004,39.21568225996282,Jeddah
Apartment,Unfurnished,"800,000",139 Sq. M.,4,3,Al Rawdah,21.57525297924468,39.16467851468909,Jeddah
Apartment,Unfurnished,"650,000",111 Sq. M.,4,3,Al Salamah,21.592618609872417,39.15775521074986,Jeddah
Apartment,Unfurnished,"1,200,000",154 Sq. M.,3,3,Al Fayhaa,21.50902289772007,39.20400453146319,Jeddah
Apartment,Unfurnished,"750,000",114 Sq. M.,4,3,Al Rawdah,21.57582492169258,39.16602784209452,Jeddah
Apartment,Unfurnished,"645,000",133 Sq. M.,4,3,Al Safa,21.572665990325824,39.21826073292062,Jeddah
Apartment,Unfurnished,"699,000",152 Sq. M.,5,3,Al Faisaliyah,21.57067448839436,39.17533188476482,Jeddah
Apartment,Unfurnished,"850,000",224 Sq. M.,3,3,Al Marwah,21.60974895506056,39.213535060763284,Jeddah
Apartment,Unfurnished,"485,000",124 Sq. M.,4,3,Al Waha,21.563603307489643,39.23774650790908,Jeddah
Apartment,Unfurnished,"1,150,000",165 Sq. M.,5,4,Al Rawdah,21.576686352339895,39.15770834452755,Jeddah
Apartment,Unfurnished,"650,000",199 Sq. M.,6,4,Al Hamdaniyah,21.74617790468249,39.20706709555368,Jeddah
Apartment,Unfurnished,"730,000",218 Sq. M.,6,4,Al Hamdaniyah,21.744928955827447,39.20507679169085,Jeddah
Apartment,Unfurnished,"730,000",185 Sq. M.,5,4,Al Safa,21.566927961640893,39.21042673314971,Jeddah
Apartment,Unfurnished,"800,000",214 Sq. M.,5,4,Al Aziziyah,21.552806059641682,39.212512682662066,Jeddah
Apartment,Unfurnished,"570,000",139 Sq. M.,4,3,Al Aziziyah,21.551374182165503,39.21246768410559,Jeddah
Apartment,Unfurnished,"650,000",517 Sq. M.,4,3,Al Rawdah,21.562923931273676,39.16087930241856,Jeddah
Apartment,Unfurnished,"250,000",706 Sq. M.,2,2,Al Mraikh,21.54941559911014,39.27927952288219,Jeddah
Apartment,Unfurnished,"250,000",706 Sq. M.,2,2,Al Mraikh,21.54941559911014,39.27927952288219,Jeddah
Apartment,Unfurnished,"250,000",706 Sq. M.,,2,Al Mraikh,21.54941559911014,39.27927952288219,Jeddah
Apartment,Unfurnished,"680,000",177 Sq. M.,5,4,Al Woroud,21.51849455614063,39.19921575419116,Jeddah
Apartment,Unfurnished,"330,000","2,762 Sq. M.",,2,Al Fayhaa,21.50484767459928,39.23387556401862,Jeddah
Apartment,Unfurnished,"395,000",104 Sq. M.,3,3,Al Rayaan,21.67633652840816,39.21228458499674,Jeddah
Apartment,Unfurnished,"530,000",150 Sq. M.,4,3,Al Safa,21.595697224577464,39.19796648956318,Jeddah
Apartment,Unfurnished,"650,000",124 Sq. M.,4,3,Al Salamah,21.59251968169749,39.15741739434944,Jeddah
Apartment,Unfurnished,"500,000",128 Sq. M.,4,3,Al Waha,21.565037478026607,39.23896910207053,Jeddah
Apartment,Unfurnished,"385,000",550 Sq. M.,2,2,Al Salamah,21.585294078873098,39.150155519783915,Jeddah
Apartment,Unfurnished,"339,000",734 Sq. M.,4,3,Al Rayaan,21.68945773293299,39.21569172609005,Jeddah
Apartment,Unfurnished,"820,000",165 Sq. M.,4,3,Al Salamah,21.587209615929503,39.15676800198107,Jeddah
Apartment,Unfurnished,"825,000",254 Sq. M.,5,4,Al Rawdah,24.0,24.0,Jeddah
Apartment,Unfurnished,"630,000",115 Sq. M.,4,3,Al Salamah,21.585327408131235,39.15636626718461,Jeddah
Apartment,Unfurnished,"650,000",135 Sq. M.,4,3,Al Salamah,21.581806027830613,39.15715578886884,Jeddah
Apartment,Unfurnished,"1,460,000",199 Sq. M.,6,5,Al Nahdah,21.612361574227485,39.126819512784124,Jeddah
Apartment,Unfurnished,"660,000",192 Sq. M.,5,4,Al Waha,21.569533248081083,39.248374146566775,Jeddah
Apartment,Unfurnished,"450,000",134 Sq. M.,4,3,Al Mraikh,21.549939818350964,39.29294944476469,Jeddah
Apartment,Unfurnished,"465,000",126 Sq. M.,4,3,Abruq Al Rughamah,21.484137724246455,39.29911239001632,Jeddah
Apartment,Unfurnished,"670,000",162 Sq. M.,5,3,Al Nuzhah,21.628948265933662,39.16145829038936,Jeddah
Apartment,Furnished,"880,000",217 Sq. M.,6,5,Al Bawadi,21.585359377449198,39.16589315084236,Jeddah
Apartment,Unfurnished,"550,000",137 Sq. M.,4,5,Al Nuzhah,21.620864414419643,39.16692494164905,Jeddah
Apartment,Unfurnished,"670,000",163 Sq. M.,5,4,Al Safa,21.57729226695432,39.20848743382274,Jeddah
Apartment,Unfurnished,"880,000",201 Sq. M.,7,4,Al Sawari,21.78835751256001,39.09540654193032,Jeddah
Apartment,Unfurnished,"490,000",103 Sq. M.,3,3,Al Salamah,21.601992856237374,39.1495727598095,Jeddah
Apartment,Unfurnished,"480,000",750 Sq. M.,5,3,Al Manar,21.609108485954355,39.23020875024357,Jeddah
Apartment,Unfurnished,"480,000",750 Sq. M.,4,3,Al Manar,21.60909701235635,39.230190735566836,Jeddah
Apartment,Unfurnished,"550,000",132 Sq. M.,4,3,Al Faisaliyah,21.57891195855323,39.19233006434598,Jeddah
Apartment,Unfurnished,"850,000",206 Sq. M.,6,5,Al Faisaliyah,21.567609340142745,39.18471653883606,Jeddah
Apartment,Unfurnished,680,198 Sq. M.,5,4,Al Mraikh,21.55181537530209,39.28498102251106,Jeddah
Apartment,Unfurnished,"1,750,000",211 Sq. M.,3,4,Al Zahraa,21.605489860440578,39.12516695577475,Jeddah
Apartment,Unfurnished,"670,000",162 Sq. M.,5,3,Al Nuzhah,21.628948265933662,39.16145829038936,Jeddah
